 C2 : 229    2(1a:32 2c:64)
 C2 : 1    2(2b:16 2c:16 2d:48 2e:16)
 C2 : 5    2(2c:56 2e:40)
 C2 : 6    2(2c:72 2e:24)
 C2 : 2    2(2e:96)
 C3 : 496    3(1a:6 3c:36 3d:36 3e:18)
 C3 : 232    3(3b:18 3c:18 3d:36 3e:24)
 C3 : 277    3(3e:96)
 C4 : 528    4(4c:48 4d:32 4e:16)
 C4 : 609    4(4c:96)
 C4 : 533    4(4d:48 4e:48)
 C4 : 603    4(4d:96)
 C6 : 936    6(6c:24 6d:48 6e:24)
 C6 : 1037    6(6c:96)
 C8 : 1345    8(8c:48 8d:48)
 C12 : 1731   12(12b:96)
 C12 : 1729   12(12d:96)
 S2 : 5    2(2c:56 2e:40)
 S2 : 6    2(2c:72 2e:24)
 S2 : 2    2(2e:96)
 S4 : 535    4(2c:16 2d:16 4b:16 4d:32 4e:16)
 S4 : 532    4(2c:8 2d:16 2e:8 4b:16 4c:16 4e:32)
 S4 : 528    4(4c:48 4d:32 4e:16)
 S4 : 609    4(4c:96)
 S4 : 533    4(4d:48 4e:48)
 S4 : 603    4(4d:96)
 S6 : 937    6(2c:2 2e:4 6b:12 6c:24 6d:36 6e:18)
 S6 : 936    6(6c:24 6d:48 6e:24)
 S6 : 1037    6(6c:96)
 S8 : 1344    8(8b:16 8c:16 8d:48 8e:16)
 S8 : 1345    8(8c:48 8d:48)
 S12 : 1728   12(12b:24 12c:48 12e:24)
 S12 : 1731   12(12b:96)
 S12 : 1729   12(12d:96)
 S12 : 1732   12(12e:96)
 S24 : 2115   24(24b:48 24d:48)
 D2 : 1,231    2(2b:16 2c:16 2d:48 2e:16) x 2(1a:32 2c:64)
 D2 : 1,29    2(2b:16 2c:16 2d:48 2e:16) x 2(2b:16 2c:16 2d:48 2e:16)
 D2 : 5,229    2(2c:56 2e:40) x 2(1a:32 2c:64)
 D2 : 5,57    2(2c:56 2e:40) x 2(2c:56 2e:40)
 D2 : 6,229    2(2c:72 2e:24) x 2(1a:32 2c:64)
 D2 : 6,1    2(2c:72 2e:24) x 2(2b:16 2c:16 2d:48 2e:16)
 D2 : 6,5    2(2c:72 2e:24) x 2(2c:56 2e:40)
 D2 : 6,44    2(2c:72 2e:24) x 2(2c:72 2e:24)
 D2 : 2,229    2(2e:96) x 2(1a:32 2c:64)
 D2 : 2,1    2(2e:96) x 2(2b:16 2c:16 2d:48 2e:16)
 D2 : 2,20    2(2e:96) x 2(2c:56 2e:40)
 D2 : 2,14    2(2e:96) x 2(2c:72 2e:24)
 D2 : 2,15    2(2e:96) x 2(2e:96)
 D3 : 496,6    3(1a:6 3c:36 3d:36 3e:18) x 2(2c:72 2e:24)
 D3 : 277,16    3(3e:96) x 2(2b:16 2c:16 2d:48 2e:16)
 D3 : 277,20    3(3e:96) x 2(2c:56 2e:40)
 D4 : 528,32    4(4c:48 4d:32 4e:16) x 2(2b:16 2c:16 2d:48 2e:16)
 D4 : 528,20    4(4c:48 4d:32 4e:16) x 2(2c:56 2e:40)
 D4 : 528,15    4(4c:48 4d:32 4e:16) x 2(2e:96)
 D4 : 609,3    4(4c:96) x 2(2b:16 2c:16 2d:48 2e:16)
 D4 : 609,21    4(4c:96) x 2(2c:56 2e:40)
 D4 : 609,6    4(4c:96) x 2(2c:72 2e:24)
 D4 : 533,4    4(4d:48 4e:48) x 2(2b:16 2c:16 2d:48 2e:16)
 D4 : 533,5    4(4d:48 4e:48) x 2(2c:56 2e:40)
 D4 : 533,90    4(4d:48 4e:48) x 2(2c:72 2e:24)
 D4 : 533,15    4(4d:48 4e:48) x 2(2e:96)
 D4 : 603,3    4(4d:96) x 2(2b:16 2c:16 2d:48 2e:16)
 D4 : 603,21    4(4d:96) x 2(2c:56 2e:40)
 D6 : 936,41    6(6c:24 6d:48 6e:24) x 2(2b:16 2c:16 2d:48 2e:16)
 D6 : 936,67    6(6c:24 6d:48 6e:24) x 2(2c:56 2e:40)
 D6 : 1037,3    6(6c:96) x 2(2b:16 2c:16 2d:48 2e:16)
 D6 : 1037,5    6(6c:96) x 2(2c:56 2e:40)
 D8 : 1345,1    8(8c:48 8d:48) x 2(2b:16 2c:16 2d:48 2e:16)
 D12 : 1731,1   12(12b:96) x 2(2b:16 2c:16 2d:48 2e:16)
 D12 : 1731,38   12(12b:96) x 2(2c:56 2e:40)
 D12 : 1729,3   12(12d:96) x 2(2b:16 2c:16 2d:48 2e:16)
 D12 : 1729,5   12(12d:96) x 2(2c:56 2e:40)
 T  : 496,22,30    3(1a:6 3c:36 3d:36 3e:18) x 2(2e:96) x 2(2e:96)
 T  : 232,2,15    3(3b:18 3c:18 3d:36 3e:24) x 2(2e:96) x 2(2e:96)
 O  : 498,533,22    3(1a:6 3c:36 3d:36 3e:18) x 4(4d:48 4e:48) x 2(2e:96)
