 C2 : 85    2(1a:8 2c:64 2e:128 2f:16)
 C2 : 1    2(2b:24 2c:24 2d:144 2e:24)
 C2 : 4    2(2d:192 2f:24)
 C2 : 3    2(2f:216)
 C3 : 112    3(3b:18 3c:18 3d:108 3e:72)
 C3 : 113    3(3c:36 3d:144 3e:36)
 C3 : 160    3(3e:216)
 C4 : 408    4(4d:120 4e:96)
 C6 : 711    6(6b:12 6c:24 6d:120 6e:60)
 C6 : 708    6(6c:72 6d:72 6e:72)
 S2 : 4    2(2d:192 2f:24)
 S2 : 3    2(2f:216)
 S4 : 414    4(2f:8 4c:64 4d:48 4e:96)
 S4 : 408    4(4d:120 4e:96)
 S6 : 711    6(6b:12 6c:24 6d:120 6e:60)
 S6 : 708    6(6c:72 6d:72 6e:72)
 S12 : 1584   12(12b:12 12c:48 12d:96 12e:60)
 D2 : 85,95    2(1a:8 2c:64 2e:128 2f:16) x 2(1a:8 2c:64 2e:128 2f:16)
 D2 : 1,95    2(2b:24 2c:24 2d:144 2e:24) x 2(1a:8 2c:64 2e:128 2f:16)
 D2 : 1,7    2(2b:24 2c:24 2d:144 2e:24) x 2(2b:24 2c:24 2d:144 2e:24)
 D2 : 4,85    2(2d:192 2f:24) x 2(1a:8 2c:64 2e:128 2f:16)
 D2 : 4,1    2(2d:192 2f:24) x 2(2b:24 2c:24 2d:144 2e:24)
 D2 : 3,85    2(2f:216) x 2(1a:8 2c:64 2e:128 2f:16)
 D2 : 3,5    2(2f:216) x 2(2b:24 2c:24 2d:144 2e:24)
 D2 : 3,4    2(2f:216) x 2(2d:192 2f:24)
 D2 : 3,13    2(2f:216) x 2(2f:216)
 D3 : 112,35    3(3b:18 3c:18 3d:108 3e:72) x 2(2b:24 2c:24 2d:144 2e:24)
 D3 : 113,8    3(3c:36 3d:144 3e:36) x 2(2b:24 2c:24 2d:144 2e:24)
 D3 : 160,85    3(3e:216) x 2(1a:8 2c:64 2e:128 2f:16)
 D3 : 160,1    3(3e:216) x 2(2b:24 2c:24 2d:144 2e:24)
 D3 : 160,4    3(3e:216) x 2(2d:192 2f:24)
 D4 : 408,85    4(4d:120 4e:96) x 2(1a:8 2c:64 2e:128 2f:16)
 D4 : 408,25    4(4d:120 4e:96) x 2(2b:24 2c:24 2d:144 2e:24)
 D4 : 408,3    4(4d:120 4e:96) x 2(2f:216)
 D6 : 711,28    6(6b:12 6c:24 6d:120 6e:60) x 2(2b:24 2c:24 2d:144 2e:24)
 D6 : 708,85    6(6c:72 6d:72 6e:72) x 2(1a:8 2c:64 2e:128 2f:16)
 D6 : 708,17    6(6c:72 6d:72 6e:72) x 2(2b:24 2c:24 2d:144 2e:24)
 D6 : 708,4    6(6c:72 6d:72 6e:72) x 2(2d:192 2f:24)
 T  : 112,3,13    3(3b:18 3c:18 3d:108 3e:72) x 2(2f:216) x 2(2f:216)
 T  : 113,3,24    3(3c:36 3d:144 3e:36) x 2(2f:216) x 2(2f:216)
 O  : 145,408,13    3(3b:18 3c:18 3d:108 3e:72) x 4(4d:120 4e:96) x 2(2f:216)
 O  : 114,408,3    3(3c:36 3d:144 3e:36) x 4(4d:120 4e:96) x 2(2f:216)
