 C2 : 241    2(1a:14 2c:28)
 C2 : 3    2(2b:28 2c:14)
 C2 : 1    2(2c:42)
 C3 : 284    3(3b:42)
 C7 : 1182    7(1a:14 7c:28)
 C7 : 1152    7(7c:42)
 C14 : 1830   14(1a:14 14c:28)
 S2 : 1    2(2c:42)
 S4 : 676    4(2c:14 4b:28)
 S6 : 760    6(6b:42)
 D2 : 3,273    2(2b:28 2c:14) x 2(1a:14 2c:28)
 D2 : 3,89    2(2b:28 2c:14) x 2(2b:28 2c:14)
 D2 : 1,241    2(2c:42) x 2(1a:14 2c:28)
 D2 : 1,11    2(2c:42) x 2(2b:28 2c:14)
 D3 : 284,67    3(3b:42) x 2(2b:28 2c:14)
 D7 : 1182,1    7(1a:14 7c:28) x 2(2c:42)
 D7 : 1152,27    7(7c:42) x 2(2b:28 2c:14)
 D7 : 1152,1    7(7c:42) x 2(2c:42)
