 C2 : 1    2(1a:1 2b:18 2c:38 2d:24)
 C3 : 588    3(1a:27 3c:54)
 C3 : 244    3(3b:27 3c:27 3d:27)
 C3 : 534    3(3c:81)
 C3 : 272    3(3d:81)
 C9 : 1086    9(9b:81)
 C9 : 1080    9(9c:81)
 D3 : 534,1    3(3c:81) x 2(1a:1 2b:18 2c:38 2d:24)
 D9 : 1086,2    9(9b:81) x 2(1a:1 2b:18 2c:38 2d:24)
 D9 : 1080,8    9(9c:81) x 2(1a:1 2b:18 2c:38 2d:24)
