 C2 : 43    2(1a:14 2c:28)
 C2 : 1    2(2b:12 2c:26 2d:4)
 C3 : 166    3(1a:6 3c:36)
 C3 : 46    3(3b:18 3c:18 3d:6)
 C3 : 47    3(3d:42)
 C7 : 348    7(7c:42)
 D2 : 1,44    2(2b:12 2c:26 2d:4) x 2(1a:14 2c:28)
 D2 : 1,2    2(2b:12 2c:26 2d:4) x 2(2b:12 2c:26 2d:4)
 D3 : 47,1    3(3d:42) x 2(2b:12 2c:26 2d:4)
 D7 : 348,1    7(7c:42) x 2(2b:12 2c:26 2d:4)
