 C2 : 88    2(1a:6 2c:48 2e:72)
 C2 : 1    2(2b:12 2c:12 2d:84 2e:18)
 C2 : 22    2(2d:84 2e:42)
 C3 : 200    3(3b:18 3c:36 3d:54 3e:18)
 C3 : 203    3(3c:18 3d:72 3e:36)
 C3 : 346    3(3e:126)
 C4 : 496    4(1a:6 4c:48 4d:48 4e:24)
 C6 : 543    6(6b:6 6c:48 6d:54 6e:18)
 C7 : 1140    7(7c:84 7d:42)
 C21 : 1752   21(21d:126)
 S2 : 22    2(2d:84 2e:42)
 S4 : 370    4(2d:4 2e:2 4c:32 4d:80 4e:8)
 S6 : 543    6(6b:6 6c:48 6d:54 6e:18)
 S8 : 1188    8(2e:6 8c:48 8d:24 8e:48)
 S8 : 1191    8(2e:6 8c:72 8d:48)
 S14 : 1608   14(14b:14 14c:14 14d:84 14e:14)
 D2 : 88,95    2(1a:6 2c:48 2e:72) x 2(1a:6 2c:48 2e:72)
 D2 : 1,96    2(2b:12 2c:12 2d:84 2e:18) x 2(1a:6 2c:48 2e:72)
 D2 : 1,13    2(2b:12 2c:12 2d:84 2e:18) x 2(2b:12 2c:12 2d:84 2e:18)
 D2 : 22,88    2(2d:84 2e:42) x 2(1a:6 2c:48 2e:72)
 D2 : 22,2    2(2d:84 2e:42) x 2(2b:12 2c:12 2d:84 2e:18)
 D3 : 200,5    3(3b:18 3c:36 3d:54 3e:18) x 2(2b:12 2c:12 2d:84 2e:18)
 D3 : 203,90    3(3c:18 3d:72 3e:36) x 2(1a:6 2c:48 2e:72)
 D3 : 203,2    3(3c:18 3d:72 3e:36) x 2(2b:12 2c:12 2d:84 2e:18)
 D3 : 346,1    3(3e:126) x 2(2b:12 2c:12 2d:84 2e:18)
 D3 : 346,22    3(3e:126) x 2(2d:84 2e:42)
 D4 : 496,90    4(1a:6 4c:48 4d:48 4e:24) x 2(1a:6 2c:48 2e:72)
 D4 : 496,6    4(1a:6 4c:48 4d:48 4e:24) x 2(2b:12 2c:12 2d:84 2e:18)
 D6 : 543,96    6(6b:6 6c:48 6d:54 6e:18) x 2(1a:6 2c:48 2e:72)
 D6 : 543,14    6(6b:6 6c:48 6d:54 6e:18) x 2(2b:12 2c:12 2d:84 2e:18)
 D7 : 1140,7    7(7c:84 7d:42) x 2(2b:12 2c:12 2d:84 2e:18)
 D21 : 1752,8   21(21d:126) x 2(2b:12 2c:12 2d:84 2e:18)
 T  : 200,88,106    3(3b:18 3c:36 3d:54 3e:18) x 2(1a:6 2c:48 2e:72) x 2(1a:6 2c:48 2e:72)
 T  : 203,89,108    3(3c:18 3d:72 3e:36) x 2(1a:6 2c:48 2e:72) x 2(1a:6 2c:48 2e:72)
 O  : 208,496,106    3(3c:18 3d:72 3e:36) x 4(1a:6 4c:48 4d:48 4e:24) x 2(1a:6 2c:48 2e:72)
