 C2 : 148    2(1a:16 2c:48)
 C2 : 1    2(2b:16 2c:48)
 C2 : 3    2(2c:64)
 C3 : 152    3(1a:1 3b:12 3c:45 3d:6)
 C4 : 472    4(1a:16 4c:48)
 C4 : 296    4(4b:16 4c:32 4d:16)
 C4 : 280    4(4b:16 4c:48)
 C4 : 282    4(4c:32 4d:32)
 C4 : 281    4(4c:48 4d:16)
 C4 : 317    4(4c:64)
 C4 : 286    4(4d:64)
 C8 : 608    8(8c:48 8d:16)
 C8 : 629    8(8c:64)
 S2 : 3    2(2c:64)
 S4 : 288    4(2c:16 4c:16 4d:32)
 S4 : 296    4(4b:16 4c:32 4d:16)
 S4 : 280    4(4b:16 4c:48)
 S4 : 282    4(4c:32 4d:32)
 S4 : 281    4(4c:48 4d:16)
 S4 : 317    4(4c:64)
 S4 : 286    4(4d:64)
 S8 : 624    8(8b:16 8c:32 8d:16)
 S8 : 644    8(8b:32 8c:32)
 S8 : 608    8(8c:48 8d:16)
 S8 : 629    8(8c:64)
 S16 : 1152   16(16b:16 16c:48)
 D2 : 148,149    2(1a:16 2c:48) x 2(1a:16 2c:48)
 D2 : 1,12    2(2b:16 2c:48) x 2(2b:16 2c:48)
 D2 : 3,148    2(2c:64) x 2(1a:16 2c:48)
 D2 : 3,1    2(2c:64) x 2(2b:16 2c:48)
 D2 : 3,8    2(2c:64) x 2(2c:64)
 D4 : 296,149    4(4b:16 4c:32 4d:16) x 2(1a:16 2c:48)
 D4 : 296,25    4(4b:16 4c:32 4d:16) x 2(2b:16 2c:48)
 D4 : 296,3    4(4b:16 4c:32 4d:16) x 2(2c:64)
 D4 : 280,148    4(4b:16 4c:48) x 2(1a:16 2c:48)
 D4 : 280,23    4(4b:16 4c:48) x 2(2b:16 2c:48)
 D4 : 282,4    4(4c:32 4d:32) x 2(2b:16 2c:48)
 D4 : 281,148    4(4c:48 4d:16) x 2(1a:16 2c:48)
 D4 : 281,34    4(4c:48 4d:16) x 2(2b:16 2c:48)
 D4 : 281,8    4(4c:48 4d:16) x 2(2c:64)
 D4 : 317,4    4(4c:64) x 2(2b:16 2c:48)
 D4 : 286,1    4(4d:64) x 2(2b:16 2c:48)
 D8 : 608,12    8(8c:48 8d:16) x 2(2b:16 2c:48)
 D8 : 629,4    8(8c:64) x 2(2b:16 2c:48)
 T  : 152,3,28    3(1a:1 3b:12 3c:45 3d:6) x 2(2c:64) x 2(2c:64)
