 D6 : 1700,432    6(6e:432 6f:72) x 2(1a:24 2c:192 2e:288)
 D6 : 1700,37    6(6e:432 6f:72) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D6 : 1700,6    6(6e:432 6f:72) x 2(2e:288 2f:160 2g:56)
 D6 : 1700,4    6(6e:432 6f:72) x 2(2f:384 2g:120)
 D6 : 1698,1    6(6e:504) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D7 : 3552,8    7(7d:168 7e:168 7f:168) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D12 : 5636,15   12(12c:48 12d:216 12e:168 12f:72) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D12 : 5636,43   12(12c:48 12d:216 12e:168 12f:72) x 2(2e:288 2f:160 2g:56)
 D14 : 6961,8   14(14c:168 14d:168 14e:168) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D14 : 6967,9   14(14d:168 14e:280 14f:56) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D14 : 6960,34   14(14d:168 14e:336) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 T  : 513,428,432    3(3b:18 3c:18 3d:144 3e:252 3f:72) x 2(1a:24 2c:192 2e:288) x 2(1a:24 2c:192 2e:288)
 T  : 513,43,100    3(3b:18 3c:18 3d:144 3e:252 3f:72) x 2(2e:288 2f:160 2g:56) x 2(2e:288 2f:160 2g:56)
 T  : 513,2,16    3(3b:18 3c:18 3d:144 3e:252 3f:72) x 2(2g:504) x 2(2g:504)
 T  : 512,429,430    3(3e:504) x 2(1a:24 2c:192 2e:288) x 2(1a:24 2c:192 2e:288)
 O  : 513,1024,16    3(3b:18 3c:18 3d:144 3e:252 3f:72) x 4(4d:144 4e:312 4f:48) x 2(2g:504)
 O  : 604,1024,17    3(3e:504) x 4(4d:144 4e:312 4f:48) x 2(2g:504)
 O  : 603,1028,17    3(3e:504) x 4(4d:96 4e:336 4f:48 4g:24) x 2(2g:504)
