 C2 : 79    2(1a:26 2c:52)
 C2 : 1    2(2b:12 2c:26 2d:36 2e:4)
 C3 : 298    3(1a:6 3c:36 3d:36)
 C3 : 82    3(3b:18 3c:18 3d:36 3e:6)
 C3 : 123    3(3e:78)
 C13 : 793   13(13c:78)
 C13 : 792   13(13d:78)
 D2 : 1,81    2(2b:12 2c:26 2d:36 2e:4) x 2(1a:26 2c:52)
 D2 : 1,42    2(2b:12 2c:26 2d:36 2e:4) x 2(2b:12 2c:26 2d:36 2e:4)
 D3 : 123,3    3(3e:78) x 2(2b:12 2c:26 2d:36 2e:4)
 D13 : 793,1   13(13c:78) x 2(2b:12 2c:26 2d:36 2e:4)
 D13 : 792,1   13(13d:78) x 2(2b:12 2c:26 2d:36 2e:4)
