 C2 : 403    2(1a:24 2c:192 2e:288)
 C2 : 5    2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48)
 C2 : 3    2(2d:144 2e:144 2f:144 2g:72)
 C2 : 1    2(2d:336 2e:168)
 C2 : 4    2(2e:224 2f:128 2g:152)
 C2 : 6    2(2g:504)
 C3 : 500    3(3b:18 3c:36 3d:108 3e:180 3f:162)
 C3 : 514    3(3c:72 3d:144 3e:144 3f:144)
 C3 : 697    3(3e:504)
 C4 : 1096    4(4d:168 4e:264 4f:48 4g:24)
 C4 : 1012    4(4d:176 4e:192 4f:96 4g:40)
 C4 : 1118    4(4e:320 4f:128 4g:56)
 C4 : 1437    4(4g:504)
 C6 : 1986    6(6b:12 6c:24 6d:96 6e:240 6f:132)
 C6 : 2022    6(6d:180 6e:180 6f:144)
 C6 : 2054    6(6d:96 6e:264 6f:120 6g:24)
 C6 : 2003    6(6e:360 6f:144)
 C7 : 3888    7(7e:336 7f:168)
 C12 : 5280   12(12c:48 12d:120 12e:144 12f:192)
 C12 : 5281   12(12c:72 12d:72 12e:144 12f:192 12g:24)
 C14 : 6288   14(14c:112 14d:56 14e:224 14f:56 14g:56)
 C14 : 6289   14(14d:140 14e:252 14f:112)
 C21 : 6720   21(21d:210 21e:126 21f:168)
 S2 : 3    2(2d:144 2e:144 2f:144 2g:72)
 S2 : 1    2(2d:336 2e:168)
 S2 : 4    2(2e:224 2f:128 2g:152)
 S2 : 6    2(2g:504)
 S4 : 1013    4(2e:8 2g:16 4c:64 4d:128 4e:112 4f:176)
 S4 : 1434    4(2g:24 4d:192 4e:288)
 S4 : 1096    4(4d:168 4e:264 4f:48 4g:24)
 S4 : 1012    4(4d:176 4e:192 4f:96 4g:40)
 S4 : 1118    4(4e:320 4f:128 4g:56)
 S4 : 1437    4(4g:504)
 S6 : 1986    6(6b:12 6c:24 6d:96 6e:240 6f:132)
 S6 : 1999    6(6b:18 6c:36 6d:108 6e:180 6f:162)
 S6 : 2022    6(6d:180 6e:180 6f:144)
 S6 : 2054    6(6d:96 6e:264 6f:120 6g:24)
 S6 : 2003    6(6e:360 6f:144)
 S12 : 5280   12(12c:48 12d:120 12e:144 12f:192)
 S12 : 5281   12(12c:72 12d:72 12e:144 12f:192 12g:24)
 S14 : 6288   14(14c:112 14d:56 14e:224 14f:56 14g:56)
 S14 : 6289   14(14d:140 14e:252 14f:112)
 S28 : 7776   28(28b:28 28c:28 28d:112 28e:168 28f:168)
 D2 : 403,412    2(1a:24 2c:192 2e:288) x 2(1a:24 2c:192 2e:288)
 D2 : 5,413    2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48) x 2(1a:24 2c:192 2e:288)
 D2 : 5,20    2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48) x 2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48)
 D2 : 3,413    2(2d:144 2e:144 2f:144 2g:72) x 2(1a:24 2c:192 2e:288)
 D2 : 3,5    2(2d:144 2e:144 2f:144 2g:72) x 2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48)
 D2 : 3,54    2(2d:144 2e:144 2f:144 2g:72) x 2(2d:144 2e:144 2f:144 2g:72)
 D2 : 1,403    2(2d:336 2e:168) x 2(1a:24 2c:192 2e:288)
 D2 : 1,5    2(2d:336 2e:168) x 2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48)
 D2 : 1,3    2(2d:336 2e:168) x 2(2d:144 2e:144 2f:144 2g:72)
 D2 : 1,170    2(2d:336 2e:168) x 2(2d:336 2e:168)
 D2 : 4,413    2(2e:224 2f:128 2g:152) x 2(1a:24 2c:192 2e:288)
 D2 : 4,21    2(2e:224 2f:128 2g:152) x 2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48)
 D2 : 4,56    2(2e:224 2f:128 2g:152) x 2(2d:144 2e:144 2f:144 2g:72)
 D2 : 4,68    2(2e:224 2f:128 2g:152) x 2(2d:336 2e:168)
 D2 : 4,28    2(2e:224 2f:128 2g:152) x 2(2e:224 2f:128 2g:152)
 D2 : 6,403    2(2g:504) x 2(1a:24 2c:192 2e:288)
 D2 : 6,5    2(2g:504) x 2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48)
 D2 : 6,3    2(2g:504) x 2(2d:144 2e:144 2f:144 2g:72)
 D2 : 6,1    2(2g:504) x 2(2d:336 2e:168)
 D2 : 6,4    2(2g:504) x 2(2e:224 2f:128 2g:152)
 D2 : 6,11    2(2g:504) x 2(2g:504)
 D3 : 500,44    3(3b:18 3c:36 3d:108 3e:180 3f:162) x 2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48)
 D3 : 514,403    3(3c:72 3d:144 3e:144 3f:144) x 2(1a:24 2c:192 2e:288)
 D3 : 514,12    3(3c:72 3d:144 3e:144 3f:144) x 2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48)
 D3 : 514,58    3(3c:72 3d:144 3e:144 3f:144) x 2(2d:144 2e:144 2f:144 2g:72)
 D3 : 514,41    3(3c:72 3d:144 3e:144 3f:144) x 2(2e:224 2f:128 2g:152)
 D3 : 697,5    3(3e:504) x 2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48)
 D3 : 697,19    3(3e:504) x 2(2d:336 2e:168)
 D4 : 1096,7    4(4d:168 4e:264 4f:48 4g:24) x 2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48)
 D4 : 1096,2    4(4d:168 4e:264 4f:48 4g:24) x 2(2d:336 2e:168)
 D4 : 1096,125    4(4d:168 4e:264 4f:48 4g:24) x 2(2e:224 2f:128 2g:152)
 D4 : 1096,6    4(4d:168 4e:264 4f:48 4g:24) x 2(2g:504)
 D4 : 1012,9    4(4d:176 4e:192 4f:96 4g:40) x 2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48)
 D4 : 1012,59    4(4d:176 4e:192 4f:96 4g:40) x 2(2e:224 2f:128 2g:152)
 D4 : 1118,107    4(4e:320 4f:128 4g:56) x 2(2b:24 2c:24 2d:96 2e:120 2f:192 2g:48)
