 C2 : 99    2(1a:6 2c:48 2e:72)
 C2 : 1    2(2b:12 2c:12 2d:72 2e:30)
 C2 : 22    2(2e:126)
 C3 : 212    3(3b:18 3c:18 3d:72 3e:18)
 C3 : 217    3(3c:72 3d:36 3e:18)
 C3 : 225    3(3e:126)
 C4 : 424    4(1a:6 4c:72 4d:48)
 C6 : 486    6(6c:54 6d:36 6e:36)
 C6 : 639    6(6e:126)
 C7 : 1056    7(7d:84 7e:42)
 C14 : 1776   14(14c:42 14d:84)
 S2 : 22    2(2e:126)
 S4 : 382    4(2e:6 4c:24 4d:48 4e:48)
 S6 : 467    6(6c:36 6d:90)
 S6 : 486    6(6c:54 6d:36 6e:36)
 S6 : 639    6(6e:126)
 S8 : 1104    8(2e:6 8b:8 8c:16 8d:88 8e:8)
 S8 : 1105    8(2e:6 8c:48 8d:56 8e:16)
 S14 : 1776   14(14c:42 14d:84)
 D2 : 99,139    2(1a:6 2c:48 2e:72) x 2(1a:6 2c:48 2e:72)
 D2 : 1,146    2(2b:12 2c:12 2d:72 2e:30) x 2(1a:6 2c:48 2e:72)
 D2 : 1,66    2(2b:12 2c:12 2d:72 2e:30) x 2(2b:12 2c:12 2d:72 2e:30)
 D2 : 22,99    2(2e:126) x 2(1a:6 2c:48 2e:72)
 D2 : 22,1    2(2e:126) x 2(2b:12 2c:12 2d:72 2e:30)
 D3 : 212,9    3(3b:18 3c:18 3d:72 3e:18) x 2(2b:12 2c:12 2d:72 2e:30)
 D3 : 217,133    3(3c:72 3d:36 3e:18) x 2(1a:6 2c:48 2e:72)
 D3 : 217,6    3(3c:72 3d:36 3e:18) x 2(2b:12 2c:12 2d:72 2e:30)
 D3 : 225,1    3(3e:126) x 2(2b:12 2c:12 2d:72 2e:30)
 D4 : 424,99    4(1a:6 4c:72 4d:48) x 2(1a:6 2c:48 2e:72)
 D4 : 424,23    4(1a:6 4c:72 4d:48) x 2(2b:12 2c:12 2d:72 2e:30)
 D6 : 486,146    6(6c:54 6d:36 6e:36) x 2(1a:6 2c:48 2e:72)
 D6 : 486,5    6(6c:54 6d:36 6e:36) x 2(2b:12 2c:12 2d:72 2e:30)
 D6 : 639,1    6(6e:126) x 2(2b:12 2c:12 2d:72 2e:30)
 D7 : 1056,3    7(7d:84 7e:42) x 2(2b:12 2c:12 2d:72 2e:30)
 D14 : 1776,1   14(14c:42 14d:84) x 2(2b:12 2c:12 2d:72 2e:30)
 T  : 212,99,174    3(3b:18 3c:18 3d:72 3e:18) x 2(1a:6 2c:48 2e:72) x 2(1a:6 2c:48 2e:72)
 T  : 217,146,168    3(3c:72 3d:36 3e:18) x 2(1a:6 2c:48 2e:72) x 2(1a:6 2c:48 2e:72)
 O  : 233,424,139    3(3c:72 3d:36 3e:18) x 4(1a:6 4c:72 4d:48) x 2(1a:6 2c:48 2e:72)
