 C2 : 147    2(1a:16 2c:64 2e:16)
 C2 : 1    2(2b:16 2c:16 2d:48 2e:16)
 C2 : 6    2(2c:16 2d:32 2e:48)
 C2 : 9    2(2c:32 2d:32 2e:32)
 C2 : 3    2(2d:96)
 C2 : 4    2(2e:96)
 C3 : 176    3(3b:12 3c:24 3d:48 3e:12)
 C4 : 330    4(4b:16 4c:16 4d:32 4e:32)
 C4 : 316    4(4b:16 4c:64 4e:16)
 C4 : 304    4(4c:48 4d:32 4e:16)
 C4 : 305    4(4c:48 4d:48)
 C4 : 314    4(4c:64 4d:32)
 C4 : 315    4(4d:64 4e:32)
 C4 : 334    4(4d:80 4e:16)
 C4 : 306    4(4d:96)
 C8 : 897    8(8b:16 8c:16 8d:48 8e:16)
 S2 : 6    2(2c:16 2d:32 2e:48)
 S2 : 9    2(2c:32 2d:32 2e:32)
 S2 : 3    2(2d:96)
 S2 : 4    2(2e:96)
 S4 : 330    4(4b:16 4c:16 4d:32 4e:32)
 S4 : 316    4(4b:16 4c:64 4e:16)
 S4 : 304    4(4c:48 4d:32 4e:16)
 S4 : 305    4(4c:48 4d:48)
 S4 : 314    4(4c:64 4d:32)
 S4 : 315    4(4d:64 4e:32)
 S4 : 334    4(4d:80 4e:16)
 S4 : 306    4(4d:96)
 S6 : 768    6(6b:12 6c:24 6d:48 6e:12)
 S8 : 897    8(8b:16 8c:16 8d:48 8e:16)
 S8 : 896    8(8c:48 8d:48)
 D2 : 147,148    2(1a:16 2c:64 2e:16) x 2(1a:16 2c:64 2e:16)
 D2 : 1,8    2(2b:16 2c:16 2d:48 2e:16) x 2(2b:16 2c:16 2d:48 2e:16)
 D2 : 6,157    2(2c:16 2d:32 2e:48) x 2(1a:16 2c:64 2e:16)
 D2 : 6,43    2(2c:16 2d:32 2e:48) x 2(2b:16 2c:16 2d:48 2e:16)
 D2 : 6,45    2(2c:16 2d:32 2e:48) x 2(2c:16 2d:32 2e:48)
 D2 : 9,147    2(2c:32 2d:32 2e:32) x 2(1a:16 2c:64 2e:16)
 D2 : 9,23    2(2c:32 2d:32 2e:32) x 2(2b:16 2c:16 2d:48 2e:16)
 D2 : 9,44    2(2c:32 2d:32 2e:32) x 2(2c:16 2d:32 2e:48)
