 D4 : 912,29    4(4d:192 4e:192) x 2(2e:256 2f:128)
 D4 : 882,81    4(4d:256 4e:96 4f:32) x 2(2b:32 2c:32 2d:160 2e:160)
 D4 : 882,21    4(4d:256 4e:96 4f:32) x 2(2d:192 2e:192)
 D4 : 882,103    4(4d:256 4e:96 4f:32) x 2(2e:192 2f:192)
 D4 : 882,4    4(4d:256 4e:96 4f:32) x 2(2e:256 2f:128)
 D4 : 969,202    4(4e:256 4f:128) x 2(1a:16 2c:128 2e:224 2f:16)
 D4 : 969,20    4(4e:256 4f:128) x 2(2b:32 2c:32 2d:160 2e:160)
 D4 : 969,9    4(4e:256 4f:128) x 2(2d:192 2e:192)
 D4 : 969,1    4(4e:256 4f:128) x 2(2e:192 2f:192)
 D4 : 969,60    4(4e:256 4f:128) x 2(2e:256 2f:128)
 D4 : 881,81    4(4e:352 4f:32) x 2(2b:32 2c:32 2d:160 2e:160)
 D4 : 881,132    4(4e:352 4f:32) x 2(2d:192 2e:192)
 D4 : 881,1    4(4e:352 4f:32) x 2(2e:192 2f:192)
 D4 : 881,25    4(4e:352 4f:32) x 2(2e:256 2f:128)
 D4 : 920,7    4(4e:384) x 2(2b:32 2c:32 2d:160 2e:160)
 D4 : 920,14    4(4e:384) x 2(2d:192 2e:192)
 D4 : 920,26    4(4e:384) x 2(2e:192 2f:192)
 D4 : 920,3    4(4e:384) x 2(2e:256 2f:128)
 D8 : 2819,7    8(8b:16 8c:16 8d:112 8e:240) x 2(2b:32 2c:32 2d:160 2e:160)
 D8 : 2819,60    8(8b:16 8c:16 8d:112 8e:240) x 2(2e:256 2f:128)
 D8 : 2851,246    8(8c:64 8d:128 8e:128 8f:64) x 2(1a:16 2c:128 2e:224 2f:16)
 D8 : 2851,45    8(8c:64 8d:128 8e:128 8f:64) x 2(2e:192 2f:192)
 D8 : 2892,227    8(8d:160 8e:224) x 2(1a:16 2c:128 2e:224 2f:16)
 D8 : 2892,16    8(8d:160 8e:224) x 2(2b:32 2c:32 2d:160 2e:160)
 D8 : 2892,1    8(8d:160 8e:224) x 2(2e:192 2f:192)
 T  : 368,3,12    3(3b:12 3c:24 3d:132 3e:192 3f:24) x 2(2e:256 2f:128) x 2(2e:256 2f:128)
 O  : 368,896,78    3(3b:12 3c:24 3d:132 3e:192 3f:24) x 4(4c:96 4d:128 4e:96 4f:64) x 2(2e:256 2f:128)
 O  : 385,912,78    3(3b:12 3c:24 3d:132 3e:192 3f:24) x 4(4d:192 4e:192) x 2(2e:256 2f:128)
 O  : 393,920,3    3(3b:12 3c:24 3d:132 3e:192 3f:24) x 4(4e:384) x 2(2e:256 2f:128)
