 C2 : 1    2(1a:1 2b:6 2c:12 2d:8)
 C3 : 108    3(1a:3 3c:18 3d:6)
 C3 : 64    3(3b:9 3c:9 3d:9)
 C3 : 70    3(3c:27)
 C3 : 65    3(3d:27)
 C9 : 252    9(9b:27)
 D3 : 70,1    3(3c:27) x 2(1a:1 2b:6 2c:12 2d:8)
 D3 : 65,1    3(3d:27) x 2(1a:1 2b:6 2c:12 2d:8)
 D9 : 252,1    9(9b:27) x 2(1a:1 2b:6 2c:12 2d:8)
