 C2 : 190    2(1a:12 2c:24)
 C2 : 1    2(2b:24 2c:12)
 C2 : 2    2(2c:36)
 C3 : 510    3(1a:12 3c:24)
 C3 : 220    3(3b:36)
 C3 : 494    3(3c:36)
 C4 : 594    4(1a:12 4c:24)
 C6 : 1050    6(1a:12 6c:24)
 C12 : 1428   12(1a:12 12c:24)
 S2 : 2    2(2c:36)
 S4 : 516    4(2c:12 4b:24)
 S4 : 518    4(2c:12 4c:24)
 S6 : 603    6(6b:36)
 S12 : 1201   12(2c:12 12b:24)
 S12 : 1212   12(2c:12 12c:24)
 D2 : 1,190    2(2b:24 2c:12) x 2(1a:12 2c:24)
 D2 : 1,56    2(2b:24 2c:12) x 2(2b:24 2c:12)
 D2 : 2,190    2(2c:36) x 2(1a:12 2c:24)
 D2 : 2,3    2(2c:36) x 2(2b:24 2c:12)
 D2 : 2,26    2(2c:36) x 2(2c:36)
 D3 : 510,2    3(1a:12 3c:24) x 2(2c:36)
 D3 : 494,1    3(3c:36) x 2(2b:24 2c:12)
 D3 : 494,2    3(3c:36) x 2(2c:36)
 D4 : 594,2    4(1a:12 4c:24) x 2(2c:36)
 D6 : 1050,2    6(1a:12 6c:24) x 2(2c:36)
