 C2 : 37    2(1a:6 2c:48)
 C2 : 1    2(2b:12 2c:12 2d:30)
 C3 : 46    3(3b:18 3c:18 3d:18)
 C3 : 55    3(3c:36 3d:18)
 C3 : 47    3(3c:54)
 D2 : 1,38    2(2b:12 2c:12 2d:30) x 2(1a:6 2c:48)
 D2 : 1,17    2(2b:12 2c:12 2d:30) x 2(2b:12 2c:12 2d:30)
 D3 : 46,6    3(3b:18 3c:18 3d:18) x 2(2b:12 2c:12 2d:30)
 D3 : 55,3    3(3c:36 3d:18) x 2(2b:12 2c:12 2d:30)
 D3 : 47,37    3(3c:54) x 2(1a:6 2c:48)
 D3 : 47,16    3(3c:54) x 2(2b:12 2c:12 2d:30)
