 C2 : 172    2(1a:16 2c:48)
 C2 : 3    2(2b:32 2c:32)
 C2 : 1    2(2c:32 2d:32)
 C2 : 4    2(2c:64)
 C2 : 2    2(2d:64)
 C3 : 176    3(1a:1 3b:12 3c:45 3d:6)
 C4 : 308    4(4b:16 4c:32 4d:16)
 C4 : 304    4(4b:32 4c:16 4d:16)
 C4 : 316    4(4b:32 4c:32)
 C4 : 306    4(4c:48 4d:16)
 C4 : 322    4(4c:64)
 S2 : 1    2(2c:32 2d:32)
 S2 : 4    2(2c:64)
 S2 : 2    2(2d:64)
 S4 : 308    4(4b:16 4c:32 4d:16)
 S4 : 304    4(4b:32 4c:16 4d:16)
 S4 : 316    4(4b:32 4c:32)
 S4 : 306    4(4c:48 4d:16)
 S4 : 322    4(4c:64)
 S8 : 896    8(8b:16 8c:48)
 D2 : 172,173    2(1a:16 2c:48) x 2(1a:16 2c:48)
 D2 : 3,12    2(2b:32 2c:32) x 2(2b:32 2c:32)
 D2 : 1,172    2(2c:32 2d:32) x 2(1a:16 2c:48)
 D2 : 1,47    2(2c:32 2d:32) x 2(2b:32 2c:32)
 D2 : 1,7    2(2c:32 2d:32) x 2(2c:32 2d:32)
 D2 : 4,3    2(2c:64) x 2(2b:32 2c:32)
 D2 : 4,9    2(2c:64) x 2(2c:32 2d:32)
 D2 : 4,10    2(2c:64) x 2(2c:64)
 D2 : 2,172    2(2d:64) x 2(1a:16 2c:48)
 D2 : 2,6    2(2d:64) x 2(2b:32 2c:32)
 D2 : 2,1    2(2d:64) x 2(2c:32 2d:32)
 D2 : 2,5    2(2d:64) x 2(2c:64)
 D2 : 2,17    2(2d:64) x 2(2d:64)
 D4 : 308,173    4(4b:16 4c:32 4d:16) x 2(1a:16 2c:48)
 D4 : 308,47    4(4b:16 4c:32 4d:16) x 2(2b:32 2c:32)
 D4 : 308,7    4(4b:16 4c:32 4d:16) x 2(2c:32 2d:32)
 D4 : 308,15    4(4b:16 4c:32 4d:16) x 2(2c:64)
 D4 : 308,21    4(4b:16 4c:32 4d:16) x 2(2d:64)
 D4 : 304,6    4(4b:32 4c:16 4d:16) x 2(2b:32 2c:32)
 D4 : 304,1    4(4b:32 4c:16 4d:16) x 2(2c:32 2d:32)
 D4 : 304,5    4(4b:32 4c:16 4d:16) x 2(2c:64)
 D4 : 304,2    4(4b:32 4c:16 4d:16) x 2(2d:64)
 D4 : 316,172    4(4b:32 4c:32) x 2(1a:16 2c:48)
 D4 : 316,47    4(4b:32 4c:32) x 2(2b:32 2c:32)
 D4 : 316,9    4(4b:32 4c:32) x 2(2c:32 2d:32)
 D4 : 316,10    4(4b:32 4c:32) x 2(2c:64)
 D4 : 316,21    4(4b:32 4c:32) x 2(2d:64)
 D4 : 306,49    4(4c:48 4d:16) x 2(2b:32 2c:32)
 D4 : 306,9    4(4c:48 4d:16) x 2(2c:32 2d:32)
 D4 : 306,38    4(4c:48 4d:16) x 2(2c:64)
 D4 : 306,2    4(4c:48 4d:16) x 2(2d:64)
 D4 : 322,172    4(4c:64) x 2(1a:16 2c:48)
 D4 : 322,47    4(4c:64) x 2(2b:32 2c:32)
 D4 : 322,9    4(4c:64) x 2(2c:32 2d:32)
 D4 : 322,10    4(4c:64) x 2(2c:64)
 D4 : 322,21    4(4c:64) x 2(2d:64)
 T  : 176,1,70    3(1a:1 3b:12 3c:45 3d:6) x 2(2c:32 2d:32) x 2(2c:32 2d:32)
 T  : 176,15,16    3(1a:1 3b:12 3c:45 3d:6) x 2(2c:64) x 2(2c:64)
