 C2 : 111    2(1a:12 2c:24)
 C2 : 1    2(2b:8 2c:16 2d:12)
 C2 : 5    2(2c:24 2d:12)
 C2 : 2    2(2d:36)
 C3 : 128    3(3b:18 3c:18)
 C3 : 150    3(3c:36)
 C5 : 190    5(1a:6 5c:30)
 C6 : 240    6(6b:12 6c:12 6d:12)
 C6 : 214    6(6b:12 6c:24)
 C6 : 242    6(6c:36)
 C6 : 267    6(6d:36)
 S2 : 5    2(2c:24 2d:12)
 S2 : 2    2(2d:36)
 S6 : 240    6(6b:12 6c:12 6d:12)
 S6 : 214    6(6b:12 6c:24)
 S6 : 222    6(6b:18 6c:18)
 S6 : 242    6(6c:36)
 S6 : 267    6(6d:36)
 S10 : 457   10(2d:6 10b:20 10c:10)
 S10 : 456   10(2d:6 10c:30)
 D2 : 1,111    2(2b:8 2c:16 2d:12) x 2(1a:12 2c:24)
 D2 : 1,40    2(2b:8 2c:16 2d:12) x 2(2b:8 2c:16 2d:12)
 D2 : 5,111    2(2c:24 2d:12) x 2(1a:12 2c:24)
 D2 : 5,6    2(2c:24 2d:12) x 2(2b:8 2c:16 2d:12)
 D2 : 5,14    2(2c:24 2d:12) x 2(2c:24 2d:12)
 D2 : 2,127    2(2d:36) x 2(1a:12 2c:24)
 D2 : 2,19    2(2d:36) x 2(2b:8 2c:16 2d:12)
 D2 : 2,5    2(2d:36) x 2(2c:24 2d:12)
 D2 : 2,16    2(2d:36) x 2(2d:36)
 D3 : 128,4    3(3b:18 3c:18) x 2(2b:8 2c:16 2d:12)
 D3 : 150,1    3(3c:36) x 2(2b:8 2c:16 2d:12)
 D3 : 150,35    3(3c:36) x 2(2c:24 2d:12)
 D5 : 190,1    5(1a:6 5c:30) x 2(2b:8 2c:16 2d:12)
 D5 : 190,5    5(1a:6 5c:30) x 2(2c:24 2d:12)
 D6 : 240,18    6(6b:12 6c:12 6d:12) x 2(2b:8 2c:16 2d:12)
 D6 : 240,2    6(6b:12 6c:12 6d:12) x 2(2d:36)
 D6 : 214,30    6(6b:12 6c:24) x 2(2c:24 2d:12)
 D6 : 242,47    6(6c:36) x 2(2b:8 2c:16 2d:12)
 D6 : 267,1    6(6d:36) x 2(2b:8 2c:16 2d:12)
 T  : 128,5,14    3(3b:18 3c:18) x 2(2c:24 2d:12) x 2(2c:24 2d:12)
 T  : 150,5,15    3(3c:36) x 2(2c:24 2d:12) x 2(2c:24 2d:12)
