 C2 : 325    2(1a:54 2c:108)
 C2 : 1    2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4)
 C2 : 3    2(2c:54 2e:36 2f:36 2g:36)
 C3 : 768    3(1a:6 3c:36 3d:36 3e:36 3f:36 3g:12)
 C3 : 328    3(3b:18 3c:18 3d:36 3e:54 3f:36)
 C3 : 369    3(3d:162)
 C3 : 732    3(3g:162)
 C6 : 1088    6(6c:36 6d:54 6e:36 6f:36)
 C9 : 1879    9(9b:162)
 C9 : 1944    9(9c:162)
 C9 : 1874    9(9d:162)
 C9 : 1877    9(9e:162)
 C9 : 1872    9(9f:162)
 S2 : 3    2(2c:54 2e:36 2f:36 2g:36)
 S4 : 822    4(2c:18 2d:36 4b:36 4c:36 4e:36)
 S6 : 1088    6(6c:36 6d:54 6e:36 6f:36)
 S18 : 2541   18(18b:36 18d:36 18e:18 18f:72)
 D2 : 1,325    2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4) x 2(1a:54 2c:108)
 D2 : 1,106    2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4) x 2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4)
 D2 : 3,325    2(2c:54 2e:36 2f:36 2g:36) x 2(1a:54 2c:108)
 D2 : 3,15    2(2c:54 2e:36 2f:36 2g:36) x 2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4)
 D3 : 768,24    3(1a:6 3c:36 3d:36 3e:36 3f:36 3g:12) x 2(2c:54 2e:36 2f:36 2g:36)
 D3 : 369,1    3(3d:162) x 2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4)
 D3 : 732,1    3(3g:162) x 2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4)
 D3 : 732,3    3(3g:162) x 2(2c:54 2e:36 2f:36 2g:36)
 D6 : 1088,1    6(6c:36 6d:54 6e:36 6f:36) x 2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4)
 D9 : 1879,1    9(9b:162) x 2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4)
 D9 : 1944,1    9(9c:162) x 2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4)
 D9 : 1944,3    9(9c:162) x 2(2c:54 2e:36 2f:36 2g:36)
 D9 : 1874,2    9(9d:162) x 2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4)
 D9 : 1877,2    9(9e:162) x 2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4)
 D9 : 1872,1    9(9f:162) x 2(2b:12 2c:26 2d:36 2e:48 2f:36 2g:4)
