 C2 : 31    2(1a:4 2c:48 2d:48)
 C2 : 1    2(2b:40 2c:40 2d:20)
 C3 : 56    3(1a:1 3b:12 3c:72 3d:15)
 C4 : 406    4(1a:4 4c:48 4d:48)
 C5 : 456    5(5c:50 5d:50)
 S4 : 256    4(2d:4 4b:16 4c:80)
 D2 : 1,32    2(2b:40 2c:40 2d:20) x 2(1a:4 2c:48 2d:48)
 D2 : 1,6    2(2b:40 2c:40 2d:20) x 2(2b:40 2c:40 2d:20)
 D5 : 456,31    5(5c:50 5d:50) x 2(1a:4 2c:48 2d:48)
 D5 : 456,4    5(5c:50 5d:50) x 2(2b:40 2c:40 2d:20)
