 C2 : 102    2(1a:8 2c:16)
 C2 : 2    2(2b:16 2c:8)
 C2 : 1    2(2c:24)
 C3 : 116    3(3b:24)
 C4 : 298    4(1a:8 4c:16)
 C8 : 564    8(1a:8 8c:16)
 S2 : 1    2(2c:24)
 S4 : 244    4(2c:8 4b:16)
 S4 : 259    4(2c:8 4c:16)
 S6 : 304    6(6b:24)
 S8 : 433    8(2c:8 8b:16)
 S8 : 475    8(2c:8 8c:16)
 D2 : 2,103    2(2b:16 2c:8) x 2(1a:8 2c:16)
 D2 : 2,20    2(2b:16 2c:8) x 2(2b:16 2c:8)
 D2 : 1,102    2(2c:24) x 2(1a:8 2c:16)
 D2 : 1,7    2(2c:24) x 2(2b:16 2c:8)
 D2 : 1,10    2(2c:24) x 2(2c:24)
 D3 : 116,20    3(3b:24) x 2(2b:16 2c:8)
 D4 : 298,1    4(1a:8 4c:16) x 2(2c:24)
